ATCOCode,CrsRef
9100EWRTHNG,EWR
9100EXETERC,EXC
9100EXETRSD,EXD
9100EXETRST,EXT
9100EXHIBTC,EXG
9100EXMOUTH,EXM
9100EXTON,EXN
9100EYNSFD,EYN
9100FAIRLIE,FRL
9100FALCNWD,FCN
9100FALKRKG,FKG
9100FALKRKH,FKK
9100FALMTHD,FAL
9100FALMTHT,FMT
9100FAMBDGE,NFA
9100FAMR,FMR
9100FAREHAM,FRM
9100FARNHAM,FNH
9100FAULDHS,FLD
9100FAVRSHM,FAV
9100FAYGATE,FGT
9100FAZKRLY,FAZ
9100FEARN,FRN
9100FELTHAM,FEL
9100FENCHRS,FST
9100FENITON,FNT
9100FERNHIL,FER
9100FERRIBY,FRY
9100FFAIRFC,FFA
9100FGDHBR,FGH
9100FGDHGWK,FGW
9100FILEY,FIL
9100FILTNEW,FIT
9100FINSTCK,FIN
9100FISKRTN,FSK
9100FITZWLM,FZW
9100FIVEWYS,FWY
9100FLEET,FLE
9100FLIMBY,FLM
9100FLINT,FLN
9100FLITWCK,FLT
9100FLIXTON,FLI
9100FLKSTNC,FKC
9100FLKSTNW,FKW
9100FLSCRHN,FOC
9100FLWRYFD,FLF
9100FLXSTOW,FLX
9100FNCHLYR,FNY
9100FNPK,FPK
9100FORD,FOD
9100FORESTH,FOH
9100FORMBY,FBY
9100FORRES,FOR
9100FORSNRD,FRS
9100FOUROKS,FOK
9100FOXFILD,FOX
9100FOXTON,FXN
9100FRANT,FRT
9100FRATTON,FTN
9100FRBN,FRB
9100FRBRMN,FNB
9100FRBRNTH,FNN
9100FRDSHM,FRD
9100FRESHFD,FFD
9100FRFD,FRF
9100FRIMLEY,FML
9100FRINTON,FRI
9100FRNCMB,FNC
9100FRNDNLT,ZFD
9100FRNNGRD,FNR
9100FRNW,FNW
9100FROME,FRO
9100FROSTLY,FRR
9100FRSHFLD,FRE
9100FRSTGT,FOG
9100FRTMTLD,FTM
9100FRTWLM,FTW
9100FRWATER,FRW
9100FRZNGHL,FZH
9100FSHBORN,FSB
9100FSHRSGT,FSG
9100FSTR,FEN
9100FTHRSTN,FEA
9100FULWELL,FLW
9100FURNESV,FNV
9100FURZEP,FZP
9100FYSD,FYS
9100GALASLS,GAL
9100GALTILL,SGB
9100GALTINT,SGB
9100GARFRTH,GRF
9100GARROWH,GAR
9100GARSDLE,GSD
9100GARTH,GTH
9100GARVE,GVE
9100GARW,GSW
9100GATHRST,GST
9100GATLEY,GTY
9100GBGHLRD,GBL
9100GBNK,GBK
9100GBROC,GNB
9100GDLMING,GOD
9100GERRDSX,GER
9100GFLD,GNF
9100GFORD,GFD
9100GGLSWCK,GIG
9100GIDB,GUI
9100GIDEAPK,GDP
9100GIFNOCK,GFN
9100GIPSYH,GIP
9100GIRVAN,GIR
9100GLAISDL,GLS
9100GLASHTN,GLH
9100GLAZBRK,GLZ
9100GLBRDYK,GBD
9100GLDTHRP,GOE
9100GLFCHFR,GFF
9100GLGC,GLC
9100GLGCLL,GCL
9100GLGHST,HST
9100GLGN,GLG
9100GLGQHL,GLQ
9100GLGQLL,GQL
9100GLHM,GIL
9100GLNCNWY,GCW
9100GLNEGLS,GLE
9100GLNFNNN,GLF
9100GLNGHMK,GLM
9100GLNRTHS,GLT
9100GLOSTER,GCR
9100GLSP,GLO
9100GLYNDE,GLY
9100GNHT,GNH
9100GNLN,GNL
9100GNRSBRY,GUN
9100GNTN,GTN
9100GNWH,GNW
9100GOBOWEN,GOB
9100GODLY,GDL
9100GODMAYS,GMY
9100GODSTON,GDN
9100GOLFSTR,GOF
9100GOLSPIE,GOL
9100GOMSHAL,GOM
9100GOOLE,GOO
9100GOOSTRY,GTR
9100GORASTR,GOR
9100GORDONH,GDH
9100GOREBRG,GBG
9100GORNGBS,GBS
9100GORTON,GTO
9100GOSPLOK,GPO
9100GOUROCK,GRK
9100GOVS,GOS
9100GOWERTN,GWN
9100GOXHILL,GOX
9100GRATELY,GRT
9100GRAVLYH,GVH
9100GRAYS,GRY
9100GREENRD,GNR
9100GRENCKC,GKC
9100GRENCKW,GKW
9100GRETGRN,GEA
9100GRGMASJ,GGJ
9100GRGRAVE,GGV
9100GRLCHHD,GCH
9100GRMSBYD,GMD
9100GRMSBYT,GMB
9100GRNDLFD,GRN
9100GRNFLDS,GRL
9100GROSMNT,GMT
9100GRPK,GPK
9100GRSTH,GSN
9100GRTCSH,GRH
9100GRTHMG,GMG
9100GRVPK,GRP
9100GRVSEND,GRV
9100GSCD,GRS
9100GTAYTON,GTA
9100GTBNTLY,GRB
9100GTCHSFD,GRC
9100GTCOATS,GCT
9100GTHM,GRA
9100GTMLVRN,GMV
9100GTMSNDN,GMN
9100GTSHDMC,MCE
9100GTWK,GTW
9100GUILDFD,GLD
9100GUISELY,GSY
9100GUNISLK,GSL
9100GUNTON,GNT
9100GWRSYLT,GWE
9100GYPSYLA,GYP
9100HABRO,HAB
9100HACKNYC,HKC
9100HACKNYW,HKW
9100HADFILD,HDF
9100HADISCO,HAD
9100HADLYWD,HDW
9100HADMATP,HDM
9100HAGFOLD,HGF
9100HAGGERS,HGG
9100HAGLEY,HAG
9100HAGT,HGT
9100HAKNYNM,HAC
9100HALE,HAL
9100HALG,HAI
9100HALLRD,HLR
9100HALSWTH,HAS
9100HALW,HED
9100HAMERTN,HMM
9100HAMLTNC,HNC
9100HAMLTNW,HNW
9100HAMPTON,HMP
9100HAMSTED,HSD
9100HAMTSQ,BKQ
9100HAMWICK,HMW
9100HANDBRO,HND
9100HANWELL,HAN
9100HAPTON,HPN
9100HARLSDN,HDN
9100HARMYRS,HMY
9100HAROOTH,HOH
9100HARTFD,HTF
9100HARWICH,HWC
9100HASLEMR,HSL
9100HASOCKS,HSK
9100HASTING,HGS
9100HATFILD,HAT
9100HATHRSG,HSG
9100HATRSLY,HTY
9100HATTON,HTN
9100HAVANT,HAV
9100HAVENHS,HVN
9100HAVRFDW,HVF
9100HAWARDN,HWD
